247,Hezekiah Rich,455,,Hezekiah Rich,339,80,60,60,0,0,2,200
248,Alex Imbufe,455,,Alex Imbufe,3642,160,60,,,,3,220
249,Tyler Jacobson,450,,Tyler Jacobson,4005,60,60,0,,,3,120
250,Cade Bowles,449,,Cade Bowles,4455,60,60,0,,,3,120
251,Justin Stahler,448,,Justin Stahler,2138,60,60,0,,,3,120
252,Aidan S,445,Aidan Shah,Aidan Shah,1541,80,80,60,0,,2,220
253,Luka Trejgut,445,,Luka Trejgut,3859,280,,,,,4,280
254,Yan Chak Li,443,,Yan Chak Li,5579,80,60,0,,,3,140
255,Hayley A,441,Hayley Aldworth,Hayley Aldworth,1671,100,60,0,0,0,3,160
256,Kacey B,440,Kacey Boardman,Kacey Boardman,1725,100,80,0,0,,3,180
257,Ori Braverman,440,,Ori Braverman,4659,100,,,,,4,100
258,Joey Mcnatt,438,,Joey Mcnatt,408,125,60,60,0,,2,245
259,Vgc_Matt,436,Matthew Faucett,Matthew Faucett,545,60,60,0,,,3,120
260,Kayla Smith,432,,Kayla Smith,473,80,60,0,0,,3,140
261,Hoang Ho,432,,Hoang Ho,2068,80,60,0,0,,3,140
262,Luis D,432,Luis Diaz,Luis Diaz,5461,100,,,,,4,100
263,Tommy R,431,Tommy Rohlfing,Tommy Rohlfing,731,100,60,60,0,,2,220
264,Vince De Vera,430,,Vince De Vera,1880,80,0,0,0,,4,80
265,Charles M,430,Charles Moses,Charles Moses,176,100,60,0,0,0,3,160
266,Andres Wilkerson,430,,Andres Wilkerson,53,280,60,0,0,,3,340
267,Eslliey Tan,429,,Eslliey Tan,1646,100,60,60,0,,2,220
268,Jack Skeen,428,,Jack Skeen,2077,80,60,0,,,3,140
269,Landon Morjal,425,,Landon Morjal,495,60,60,0,0,,3,120
270,Peter Chen,425,,Peter Chen,5511,60,,,,,4,60
271,Loganmcsilent,425,Logan Allen,Logan Allen,507,125,100,,,,3,225
272,Kevin Miller,423,,Kevin Miller,479,80,60,0,0,0,3,140
273,Logan Martinez,423,,Logan Martinez,508,125,60,60,0,0,2,245
274,Aaron K,422,Aaron Kreimer,Aaron Kreimer,3625,60,0,,,,4,60
275,Eric L,420,Eric Luong,Eric Luong,287,80,0,0,0,0,4,80
276,Dave Markin,420,David Markin,David Markin,5341,60,60,60,,,2,180
277,Kamikazekidgc,420,Nathan Moon,Nathan Moon,5495,100,60,,,,3,160
278,Ofomezie Emelle,420,,Ofomezie Emelle,606,100,80,80,60,0,1,320
279,Nick W,419,Nick Willems,Nick Willems,588,60,60,60,60,,1,240
